Tracker Experiment Results 03-Nov-2014
RIGHT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0	5263.7799	-217.5654	99.2347	0.6078 	 0.4910 	 0.4965 	 -0.3780 	-1.8002 	 0.2346 	 -1.5454 	 
0.08	5263.774	-217.4475	99.1573	0.6076 	 0.4917 	 0.4955 	 -0.3788 	-1.8009 	 0.2318 	 -1.5448 	 
0.09	5263.7621	-217.5931	99.2308	0.6080 	 0.4915 	 0.4959 	 -0.3780 	-1.8015 	 0.2335 	 -1.5451 	 
0.11	5263.755	-217.5744	99.2065	0.6078 	 0.4914 	 0.4961 	 -0.3782 	-1.8007 	 0.2336 	 -1.5453 	 
0.12	5263.7447	-217.6426	99.2445	0.6079 	 0.4909 	 0.4969 	 -0.3776 	-1.7999 	 0.2356 	 -1.5459 	 
0.13	5263.7492	-217.6067	99.2326	0.6077 	 0.4913 	 0.4964 	 -0.3780 	-1.8004 	 0.2339 	 -1.5457 	 
0.15	5263.7485	-217.5698	99.207	0.6076 	 0.4911 	 0.4966 	 -0.3782 	-1.7997 	 0.2342 	 -1.5456 	 
0.17	5263.7446	-217.6099	99.222	0.6078 	 0.4909 	 0.4970 	 -0.3777 	-1.7998 	 0.2354 	 -1.5460 	 
1.28	-209.8162	-174.7165	76.2735	-0.2200 	 0.7644 	 0.2599 	 0.5474 	-1.9650 	 0.8076 	 2.0259 	 
1.29	-209.5927	-174.7182	76.4432	-0.2206 	 0.7603 	 0.2615 	 0.5522 	-1.9472 	 0.8100 	 2.0095 	 
1.3	-206.1688	-171.1915	74.473	-0.2498 	 0.7606 	 0.2958 	 0.5212 	-1.9483 	 0.7011 	 2.0201 	 
1.31	-205.9595	-170.9733	74.383	-0.2486 	 0.7550 	 0.2999 	 0.5275 	-1.9239 	 0.7042 	 2.0040 	 
1.32	-205.9157	-170.9369	74.3688	-0.2483 	 0.7537 	 0.3012 	 0.5288 	-1.9181 	 0.7042 	 2.0005 	 
1.33	-205.9003	-170.9402	74.3588	-0.2484 	 0.7536 	 0.3012 	 0.5289 	-1.9177 	 0.7044 	 2.0000 	 
1.34	-205.8944	-170.9526	74.3517	-0.2483 	 0.7533 	 0.3014 	 0.5291 	-1.9167 	 0.7043 	 1.9994 	 
1.35	-205.8952	-170.9589	74.3258	-0.2482 	 0.7532 	 0.3014 	 0.5293 	-1.9161 	 0.7046 	 1.9991 	 
1.36	-205.8815	-170.972	74.3226	-0.2482 	 0.7531 	 0.3015 	 0.5294 	-1.9157 	 0.7046 	 1.9988 	 
1.37	-205.9091	-170.9949	74.3186	-0.2482 	 0.7532 	 0.3015 	 0.5294 	-1.9159 	 0.7047 	 1.9990 	 
1.38	-205.8916	-170.9948	74.2963	-0.2483 	 0.7531 	 0.3016 	 0.5293 	-1.9156 	 0.7043 	 1.9988 	 
1.39	-205.9037	-171.0237	74.2958	-0.2481 	 0.7531 	 0.3017 	 0.5293 	-1.9156 	 0.7045 	 1.9991 	 
1.4	-205.8806	-171.0103	74.293	-0.2483 	 0.7531 	 0.3017 	 0.5293 	-1.9155 	 0.7042 	 1.9988 	 
1.41	-205.8952	-171.042	74.3009	-0.2481 	 0.7533 	 0.3016 	 0.5292 	-1.9164 	 0.7044 	 1.9996 	 
1.42	-205.8912	-171.0353	74.2917	-0.2481 	 0.7533 	 0.3016 	 0.5292 	-1.9161 	 0.7045 	 1.9996 	 
1.43	-205.8657	-171.039	74.2942	-0.2482 	 0.7532 	 0.3017 	 0.5292 	-1.9161 	 0.7042 	 1.9994 	 
1.44	-205.8694	-171.0321	74.2912	-0.2482 	 0.7534 	 0.3015 	 0.5290 	-1.9169 	 0.7042 	 2.0000 	 
1.45	-205.8732	-171.02	74.2937	-0.2481 	 0.7534 	 0.3017 	 0.5291 	-1.9164 	 0.7043 	 1.9999 	 
1.46	-205.8841	-171.0443	74.2876	-0.2481 	 0.7531 	 0.3017 	 0.5294 	-1.9156 	 0.7045 	 1.9991 	 
1.47	-205.8664	-171.023	74.2716	-0.2482 	 0.7531 	 0.3019 	 0.5293 	-1.9152 	 0.7040 	 1.9990 	 
1.48	-205.8778	-171.0298	74.2751	-0.2482 	 0.7530 	 0.3020 	 0.5294 	-1.9148 	 0.7041 	 1.9987 	 
1.49	-205.8739	-171.0224	74.2672	-0.2482 	 0.7529 	 0.3020 	 0.5295 	-1.9146 	 0.7042 	 1.9985 	 
1.5	-205.8674	-171.0015	74.2525	-0.2482 	 0.7528 	 0.3021 	 0.5295 	-1.9143 	 0.7042 	 1.9983 	 
1.51	-205.8726	-171.0214	74.249	-0.2482 	 0.7530 	 0.3020 	 0.5293 	-1.9149 	 0.7040 	 1.9988 	 
