Tracker Experiment Results 31-Oct-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0	218.4407	148.7182	91.8439	0.7112 	 -0.3633 	 0.5396 	 0.2666 	1.9138 	 0.6113 	 1.3820 	 
0.15	218.424	148.734	91.8439	0.7114 	 -0.3634 	 0.5394 	 0.2662 	1.9150 	 0.6114 	 1.3816 	 
0.16	218.4264	148.7044	91.8539	0.7112 	 -0.3634 	 0.5396 	 0.2665 	1.9142 	 0.6112 	 1.3820 	 
0.18	218.4115	148.7207	91.8554	0.7113 	 -0.3632 	 0.5395 	 0.2664 	1.9144 	 0.6114 	 1.3817 	 
0.19	218.4258	148.7073	91.8406	0.7113 	 -0.3632 	 0.5395 	 0.2665 	1.9143 	 0.6113 	 1.3817 	 
0.2	218.4298	148.7038	91.8348	0.7112 	 -0.3633 	 0.5397 	 0.2665 	1.9139 	 0.6113 	 1.3822 	 
0.22	218.4375	148.7282	91.8306	0.7113 	 -0.3634 	 0.5395 	 0.2665 	1.9143 	 0.6112 	 1.3819 	 
0.25	218.4289	148.7176	91.8446	0.7113 	 -0.3634 	 0.5395 	 0.2664 	1.9145 	 0.6112 	 1.3819 	 
0.3	218.4346	148.7189	91.841	0.7113 	 -0.3633 	 0.5395 	 0.2665 	1.9143 	 0.6113 	 1.3817 	 
0.31	218.4294	148.7094	91.8461	0.7112 	 -0.3633 	 0.5396 	 0.2665 	1.9140 	 0.6112 	 1.3822 	 
0.34	218.4301	148.6939	91.8567	0.7113 	 -0.3634 	 0.5395 	 0.2665 	1.9144 	 0.6111 	 1.3818 	 
0.35	218.4568	148.6992	91.8328	0.7112 	 -0.3633 	 0.5395 	 0.2668 	1.9137 	 0.6107 	 1.3818 	 
0.37	218.4446	148.6986	91.8546	0.7113 	 -0.3635 	 0.5394 	 0.2664 	1.9145 	 0.6110 	 1.3819 	 
0.39	218.447	148.7287	91.8636	0.7117 	 -0.3634 	 0.5392 	 0.2661 	1.9159 	 0.6114 	 1.3809 	 
