Tracker Experiment Results 03-Nov-2014
BACK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
3.05	1.3416	-129.6958	1233.5816	-0.2931 	 -0.6141 	 0.4617 	 0.5690 	1.2643 	 -1.3233 	 2.3999 	 
3.06	-1.4383	-116.235	1224.9381	0.7445 	 0.0557 	 0.6581 	 -0.0973 	-2.0556 	 1.3217 	 -1.0268 	 
3.08	2.5733	-117.2246	1225.8052	0.7382 	 0.0582 	 0.6640 	 -0.1038 	-1.9683 	 1.3181 	 -1.1083 	 
3.09	4.5368	-117.917	1226.0048	0.7429 	 0.0584 	 0.6592 	 -0.1008 	-2.0245 	 1.3156 	 -1.0566 	 
3.1	6.6806	-118.6749	1226.1865	0.7453 	 0.0579 	 0.6567 	 -0.0999 	-2.0522 	 1.3141 	 -1.0295 	 
3.11	8.387	-119.2091	1226.6091	0.7400 	 0.0599 	 0.6619 	 -0.1039 	-1.9845 	 1.3135 	 -1.0945 	 
3.12	10.804	-119.7674	1226.9173	0.7425 	 0.0596 	 0.6592 	 -0.1027 	-2.0143 	 1.3121 	 -1.0659 	 
3.13	12.6678	-120.5356	1227.0465	0.7448 	 0.0603 	 0.6568 	 -0.1013 	-2.0404 	 1.3098 	 -1.0426 	 
3.14	14.6339	-121.1116	1227.2175	0.7415 	 0.0609 	 0.6599 	 -0.1047 	-1.9972 	 1.3089 	 -1.0819 	 
3.15	16.913	-121.523	1227.4221	0.7403 	 0.0621 	 0.6609 	 -0.1061 	-1.9803 	 1.3071 	 -1.0985 	 
3.16	18.881	-122.3653	1227.4497	0.7445 	 0.0613 	 0.6567 	 -0.1035 	-2.0304 	 1.3060 	 -1.0509 	 
3.17	20.8404	-123.0305	1227.6806	0.7418 	 0.0627 	 0.6592 	 -0.1059 	-1.9952 	 1.3045 	 -1.0848 	 
3.19	25.3383	-124.3647	1227.9602	0.7449 	 0.0628 	 0.6559 	 -0.1043 	-2.0308 	 1.3023 	 -1.0516 	 
3.2	27.6763	-125.0687	1228.1155	0.7437 	 0.0631 	 0.6569 	 -0.1066 	-2.0129 	 1.3005 	 -1.0666 	 
3.21	29.8344	-125.4206	1228.1876	0.7414 	 0.0658 	 0.6588 	 -0.1093 	-1.9807 	 1.2961 	 -1.0988 	 
3.22	32.2374	-126.5017	1228.2689	0.7443 	 0.0642 	 0.6562 	 -0.1063 	-2.0173 	 1.2987 	 -1.0641 	 
3.23	34.5329	-126.982	1228.4995	0.7434 	 0.0657 	 0.6569 	 -0.1076 	-2.0040 	 1.2960 	 -1.0777 	 
3.24	36.8653	-127.9875	1228.6598	0.7409 	 0.0676 	 0.6591 	 -0.1102 	-1.9716 	 1.2932 	 -1.1092 	 
3.25	39.4231	-128.5093	1228.7126	0.7432 	 0.0664 	 0.6570 	 -0.1079 	-2.0006 	 1.2950 	 -1.0818 	 
3.26	42.1154	-129.3438	1228.8162	0.7428 	 0.0683 	 0.6568 	 -0.1105 	-1.9892 	 1.2893 	 -1.0921 	 
3.27	45.5028	-130.2128	1230.2015	0.7333 	 0.0669 	 0.6659 	 -0.1199 	-1.8789 	 1.2890 	 -1.1870 	 
3.28	47.4937	-131.3593	1229.8863	0.7410 	 0.0665 	 0.6580 	 -0.1162 	-1.9615 	 1.2860 	 -1.1091 	 
3.29	51.2635	-131.6569	1230.4214	0.7287 	 0.0679 	 0.6703 	 -0.1225 	-1.8296 	 1.2883 	 -1.2340 	 
3.3	53.0621	-133.0625	1229.8999	0.7397 	 0.0692 	 0.6588 	 -0.1185 	-1.9424 	 1.2808 	 -1.1288 	 
3.32	59.1122	-135.033	1229.8454	0.7386 	 0.0711 	 0.6596 	 -0.1199 	-1.9279 	 1.2774 	 -1.1440 	 
3.33	62.1866	-135.8903	1229.7604	0.7377 	 0.0705 	 0.6607 	 -0.1194 	-1.9210 	 1.2800 	 -1.1506 	 
3.34	65.7266	-136.6498	1229.6463	0.7377 	 0.0717 	 0.6604 	 -0.1205 	-1.9185 	 1.2766 	 -1.1533 	 
3.35	69.8627	-137.3105	1229.9783	0.7271 	 0.0732 	 0.6709 	 -0.1256 	-1.8090 	 1.2776 	 -1.2578 	 
3.36	72.3165	-139.0627	1229.3809	0.7365 	 0.0750 	 0.6611 	 -0.1221 	-1.9023 	 1.2712 	 -1.1718 	 
3.37	75.9106	-140.2131	1229.0087	0.7339 	 0.0766 	 0.6634 	 -0.1242 	-1.8745 	 1.2688 	 -1.1990 	 
3.39	83.4656	-142.6462	1228.5942	0.7330 	 0.0794 	 0.6637 	 -0.1260 	-1.8628 	 1.2630 	 -1.2121 	 
3.4	86.9148	-144.1805	1228.3615	0.7323 	 0.0803 	 0.6642 	 -0.1272 	-1.8543 	 1.2606 	 -1.2201 	 
3.41	90.6791	-145.485	1228.3249	0.7311 	 0.0820 	 0.6651 	 -0.1282 	-1.8420 	 1.2578 	 -1.2334 	 
3.42	94.5748	-146.4792	1228.3048	0.7306 	 0.0840 	 0.6653 	 -0.1285 	-1.8369 	 1.2550 	 -1.2409 	 
3.43	98.2396	-147.7537	1228.3932	0.7299 	 0.0848 	 0.6660 	 -0.1283 	-1.8307 	 1.2549 	 -1.2486 	 
3.44	102.919	-148.5788	1228.749	0.7223 	 0.0874 	 0.6732 	 -0.1319 	-1.7592 	 1.2516 	 -1.3187 	 
3.45	106.2762	-150.2408	1228.5062	0.7289 	 0.0889 	 0.6662 	 -0.1303 	-1.8196 	 1.2470 	 -1.2627 	 
3.46	110.3178	-151.5142	1228.6536	0.7275 	 0.0904 	 0.6675 	 -0.1300 	-1.8081 	 1.2463 	 -1.2767 	 
3.47	114.7481	-152.3356	1228.9888	0.7194 	 0.0930 	 0.6751 	 -0.1341 	-1.7338 	 1.2421 	 -1.3488 	 
3.48	118.3017	-153.8095	1229.1266	0.7266 	 0.0944 	 0.6680 	 -0.1298 	-1.8012 	 1.2415 	 -1.2896 	 
3.49	122.5646	-155.0074	1229.4369	0.7260 	 0.0963 	 0.6684 	 -0.1297 	-1.7965 	 1.2395 	 -1.2973 	 
3.5	127.1315	-156.0029	1229.9604	0.7192 	 0.0991 	 0.6746 	 -0.1333 	-1.7360 	 1.2346 	 -1.3565 	 
3.52	134.8189	-158.8241	1230.6127	0.7247 	 0.1026 	 0.6689 	 -0.1300 	-1.7865 	 1.2309 	 -1.3159 	 
3.53	138.9844	-160.0306	1231.1329	0.7227 	 0.1048 	 0.6705 	 -0.1310 	-1.7698 	 1.2276 	 -1.3341 	 
3.54	143.51	-161.1994	1231.4487	0.7256 	 0.1055 	 0.6679 	 -0.1279 	-1.7971 	 1.2291 	 -1.3124 	 
3.55	147.5905	-162.7034	1232.0828	0.7257 	 0.1069 	 0.6674 	 -0.1287 	-1.7977 	 1.2259 	 -1.3127 	 
3.57	155.3512	-165.4771	1233.3086	0.7239 	 0.1106 	 0.6682 	 -0.1312 	-1.7826 	 1.2181 	 -1.3295 	 
3.58	159.1141	-166.868	1233.8719	0.7245 	 0.1130 	 0.6669 	 -0.1326 	-1.7871 	 1.2120 	 -1.3262 	 
3.59	162.9474	-168.3803	1234.5349	0.7245 	 0.1143 	 0.6665 	 -0.1334 	-1.7872 	 1.2091 	 -1.3270 	 
3.6	166.6009	-169.8777	1234.9617	0.7240 	 0.1157 	 0.6664 	 -0.1356 	-1.7820 	 1.2041 	 -1.3310 	 
3.61	170.3678	-171.317	1235.5892	0.7243 	 0.1169 	 0.6658 	 -0.1360 	-1.7844 	 1.2016 	 -1.3298 	 
3.62	173.8767	-172.8318	1235.9951	0.7247 	 0.1184 	 0.6648 	 -0.1376 	-1.7868 	 1.1968 	 -1.3273 	 
3.63	177.7	-174.2558	1236.5797	0.7243 	 0.1197 	 0.6646 	 -0.1388 	-1.7841 	 1.1933 	 -1.3300 	 
3.64	181.1427	-175.6636	1237.0155	0.7241 	 0.1211 	 0.6642 	 -0.1408 	-1.7817 	 1.1886 	 -1.3315 	 
3.65	184.6712	-177.0606	1237.53	0.7244 	 0.1219 	 0.6636 	 -0.1417 	-1.7832 	 1.1859 	 -1.3298 	 
3.67	191.3656	-179.5644	1238.5647	0.7246 	 0.1244 	 0.6622 	 -0.1450 	-1.7834 	 1.1771 	 -1.3285 	 
3.68	194.729	-180.635	1239.0947	0.7238 	 0.1246 	 0.6626 	 -0.1468 	-1.7764 	 1.1748 	 -1.3333 	 
3.69	197.8673	-181.7602	1239.6026	0.7241 	 0.1255 	 0.6618 	 -0.1481 	-1.7785 	 1.1713 	 -1.3304 	 
3.7	200.9632	-182.7086	1240.0572	0.7255 	 0.1254 	 0.6601 	 -0.1488 	-1.7881 	 1.1694 	 -1.3196 	 
3.71	204.0237	-183.599	1240.5746	0.7245 	 0.1254 	 0.6608 	 -0.1507 	-1.7793 	 1.1673 	 -1.3257 	 
3.72	206.8627	-184.5364	1240.965	0.7249 	 0.1254 	 0.6602 	 -0.1516 	-1.7814 	 1.1657 	 -1.3223 	 
3.73	209.9717	-185.2479	1241.3872	0.7251 	 0.1248 	 0.6597 	 -0.1532 	-1.7812 	 1.1643 	 -1.3194 	 
3.74	212.5483	-186.0679	1241.6346	0.7253 	 0.1242 	 0.6594 	 -0.1539 	-1.7820 	 1.1639 	 -1.3167 	 
3.75	215.4187	-186.7754	1241.9542	0.7247 	 0.1237 	 0.6599 	 -0.1552 	-1.7762 	 1.1632 	 -1.3199 	 
3.76	218.0271	-187.3025	1242.2293	0.7257 	 0.1225 	 0.6589 	 -0.1554 	-1.7829 	 1.1638 	 -1.3111 	 
3.77	220.6796	-188.0569	1242.396	0.7259 	 0.1224 	 0.6583 	 -0.1570 	-1.7833 	 1.1613 	 -1.3083 	 
3.78	223.0967	-188.6216	1242.7105	0.7264 	 0.1211 	 0.6580 	 -0.1571 	-1.7861 	 1.1628 	 -1.3035 	 
3.79	225.8149	-189.1496	1243.0725	0.7264 	 0.1203 	 0.6580 	 -0.1578 	-1.7850 	 1.1630 	 -1.3023 	 
3.8	228.0765	-189.7947	1243.344	0.7269 	 0.1200 	 0.6572 	 -0.1588 	-1.7877 	 1.1615 	 -1.2978 	 
3.81	230.4107	-190.416	1243.6217	0.7273 	 0.1197 	 0.6565 	 -0.1601 	-1.7894 	 1.1597 	 -1.2938 	 
3.82	232.8159	-191.0413	1243.8867	0.7274 	 0.1181 	 0.6567 	 -0.1603 	-1.7892 	 1.1618 	 -1.2914 	 
3.83	234.9678	-191.7163	1244.1333	0.7277 	 0.1183 	 0.6560 	 -0.1617 	-1.7902 	 1.1592 	 -1.2887 	 
3.84	237.189	-192.4912	1244.3243	0.7272 	 0.1178 	 0.6562 	 -0.1632 	-1.7855 	 1.1580 	 -1.2905 	 
3.85	239.4751	-193.2799	1244.5489	0.7276 	 0.1168 	 0.6558 	 -0.1638 	-1.7872 	 1.1582 	 -1.2865 	 
3.86	241.7076	-194.0196	1244.7283	0.7274 	 0.1160 	 0.6560 	 -0.1646 	-1.7848 	 1.1585 	 -1.2866 	 
3.87	243.8046	-195.236	1244.835	0.7267 	 0.1163 	 0.6562 	 -0.1665 	-1.7787 	 1.1556 	 -1.2902 	 
3.88	246.1306	-196.1273	1245.0078	0.7269 	 0.1165 	 0.6556 	 -0.1681 	-1.7792 	 1.1529 	 -1.2878 	 
3.89	248.4743	-197.4245	1245.0847	0.7261 	 0.1162 	 0.6561 	 -0.1697 	-1.7723 	 1.1515 	 -1.2918 	 
3.9	250.8602	-198.6417	1245.2721	0.7265 	 0.1164 	 0.6550 	 -0.1719 	-1.7737 	 1.1475 	 -1.2877 	 
