Tracker Experiment Results 03-Nov-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0	5312.9868	60.0674	104.1509	0.7212 	 -0.3220 	 0.5495 	 0.2724 	1.8910 	 0.6651 	 1.3286 	 
0.08	5313.0159	60.0419	104.1468	0.7211 	 -0.3219 	 0.5497 	 0.2725 	1.8905 	 0.6653 	 1.3289 	 
0.09	5313.0042	60.032	104.1404	0.7210 	 -0.3220 	 0.5497 	 0.2726 	1.8900 	 0.6651 	 1.3292 	 
0.11	5312.999	60.0567	104.1443	0.7210 	 -0.3219 	 0.5498 	 0.2726 	1.8898 	 0.6653 	 1.3292 	 
0.12	5312.9984	60.051	104.1525	0.7210 	 -0.3221 	 0.5496 	 0.2726 	1.8904 	 0.6647 	 1.3291 	 
0.13	5312.9961	60.0651	104.1464	0.7211 	 -0.3221 	 0.5496 	 0.2725 	1.8906 	 0.6649 	 1.3290 	 
0.15	5312.9953	60.0856	104.1592	0.7210 	 -0.3220 	 0.5496 	 0.2726 	1.8903 	 0.6650 	 1.3290 	 
0.17	5313.0074	60.0577	104.1606	0.7212 	 -0.3220 	 0.5496 	 0.2723 	1.8909 	 0.6654 	 1.3289 	 
0.19	-170.0106	144.431	89.4368	0.7289 	 -0.3547 	 0.5130 	 0.2824 	1.9557 	 0.5794 	 1.3021 	 
0.21	-170.0222	144.4008	89.4375	0.7287 	 -0.3546 	 0.5133 	 0.2827 	1.9546 	 0.5794 	 1.3026 	 
0.22	-170.0134	144.4017	89.4399	0.7287 	 -0.3547 	 0.5132 	 0.2826 	1.9549 	 0.5792 	 1.3027 	 
0.23	-170.0196	144.4075	89.4346	0.7286 	 -0.3546 	 0.5133 	 0.2827 	1.9544 	 0.5793 	 1.3027 	 
0.24	-170.0216	144.4403	89.4507	0.7287 	 -0.3545 	 0.5133 	 0.2826 	1.9546 	 0.5797 	 1.3026 	 
0.25	-170.0142	144.4416	89.4354	0.7287 	 -0.3546 	 0.5133 	 0.2825 	1.9550 	 0.5797 	 1.3026 	 
0.26	-170.0162	144.4039	89.427	0.7288 	 -0.3548 	 0.5129 	 0.2826 	1.9554 	 0.5789 	 1.3024 	 
0.27	-170.0125	144.4256	89.4299	0.7286 	 -0.3545 	 0.5134 	 0.2827 	1.9543 	 0.5795 	 1.3028 	 
0.28	-170.0118	144.4135	89.4257	0.7287 	 -0.3547 	 0.5131 	 0.2826 	1.9550 	 0.5792 	 1.3026 	 
0.29	-170.0061	144.4428	89.4396	0.7286 	 -0.3546 	 0.5134 	 0.2827 	1.9543 	 0.5795 	 1.3029 	 
0.3	-170.006	144.412	89.4342	0.7287 	 -0.3546 	 0.5132 	 0.2826 	1.9549 	 0.5793 	 1.3025 	 
0.31	-170.008	144.41	89.4306	0.7287 	 -0.3546 	 0.5132 	 0.2827 	1.9548 	 0.5793 	 1.3025 	 
0.32	-170.0088	144.4312	89.4459	0.7286 	 -0.3545 	 0.5134 	 0.2827 	1.9542 	 0.5795 	 1.3028 	 
0.33	-170.0117	144.3975	89.4262	0.7288 	 -0.3546 	 0.5131 	 0.2827 	1.9549 	 0.5792 	 1.3023 	 
0.34	-170.0038	144.4165	89.4353	0.7287 	 -0.3547 	 0.5131 	 0.2825 	1.9551 	 0.5793 	 1.3026 	 
0.35	-170.0065	144.4269	89.4335	0.7286 	 -0.3545 	 0.5133 	 0.2827 	1.9544 	 0.5794 	 1.3027 	 
0.36	-170.0057	144.4301	89.4291	0.7286 	 -0.3545 	 0.5133 	 0.2827 	1.9544 	 0.5794 	 1.3027 	 
0.37	-170.005	144.4644	89.4431	0.7286 	 -0.3544 	 0.5135 	 0.2825 	1.9543 	 0.5800 	 1.3029 	 
0.38	-170.01	144.4429	89.4467	0.7288 	 -0.3545 	 0.5133 	 0.2825 	1.9549 	 0.5797 	 1.3025 	 
0.39	-170.0135	144.4366	89.4359	0.7286 	 -0.3545 	 0.5134 	 0.2827 	1.9542 	 0.5795 	 1.3030 	 
0.4	-169.9992	144.4179	89.435	0.7287 	 -0.3547 	 0.5131 	 0.2826 	1.9550 	 0.5793 	 1.3026 	 
0.41	-170.0044	144.4184	89.4411	0.7285 	 -0.3543 	 0.5136 	 0.2828 	1.9537 	 0.5799 	 1.3029 	 
0.42	-169.9979	144.4286	89.4583	0.7286 	 -0.3545 	 0.5134 	 0.2826 	1.9543 	 0.5796 	 1.3029 	 
0.43	-170.0046	144.4315	89.449	0.7288 	 -0.3544 	 0.5133 	 0.2825 	1.9548 	 0.5799 	 1.3024 	 
0.44	-170.0059	144.4348	89.4486	0.7288 	 -0.3545 	 0.5132 	 0.2824 	1.9552 	 0.5796 	 1.3023 	 
0.45	-169.9908	144.4036	89.4559	0.7287 	 -0.3545 	 0.5133 	 0.2826 	1.9545 	 0.5797 	 1.3026 	 
0.49	-169.9847	144.3932	89.4678	0.7289 	 -0.3548 	 0.5130 	 0.2824 	1.9557 	 0.5793 	 1.3023 	 
0.5	-169.994	144.4066	89.4719	0.7290 	 -0.3547 	 0.5129 	 0.2823 	1.9560 	 0.5794 	 1.3021 	 
0.51	-169.998	144.3887	89.4525	0.7288 	 -0.3546 	 0.5131 	 0.2825 	1.9553 	 0.5793 	 1.3023 	 
0.52	-169.989	144.3756	89.4695	0.7289 	 -0.3548 	 0.5128 	 0.2825 	1.9559 	 0.5789 	 1.3020 	 
0.53	-169.9909	144.3979	89.4699	0.7289 	 -0.3549 	 0.5127 	 0.2825 	1.9561 	 0.5788 	 1.3020 	 
0.54	-170.0104	144.3935	89.463	0.7289 	 -0.3548 	 0.5129 	 0.2823 	1.9560 	 0.5794 	 1.3022 	 
0.55	-170.0086	144.3762	89.4463	0.7289 	 -0.3548 	 0.5128 	 0.2825 	1.9558 	 0.5789 	 1.3021 	 
0.56	-170.016	144.3644	89.4501	0.7289 	 -0.3550 	 0.5127 	 0.2824 	1.9561 	 0.5787 	 1.3022 	 
0.57	-170.0155	144.3863	89.4438	0.7288 	 -0.3549 	 0.5129 	 0.2825 	1.9556 	 0.5789 	 1.3025 	 
0.59	-170.0287	144.3827	89.425	0.7288 	 -0.3548 	 0.5130 	 0.2826 	1.9552 	 0.5790 	 1.3025 	 
0.6	-170.0307	144.3765	89.4251	0.7288 	 -0.3549 	 0.5129 	 0.2826 	1.9556 	 0.5788 	 1.3024 	 
0.61	-170.0429	144.3685	89.3967	0.7289 	 -0.3549 	 0.5128 	 0.2826 	1.9559 	 0.5786 	 1.3021 	 
0.63	-170.0587	144.3945	89.4017	0.7290 	 -0.3550 	 0.5127 	 0.2823 	1.9565 	 0.5788 	 1.3021 	 
0.64	-170.0644	144.4063	89.3903	0.7287 	 -0.3550 	 0.5130 	 0.2826 	1.9552 	 0.5787 	 1.3028 	 
0.66	-170.0751	144.4266	89.3878	0.7289 	 -0.3550 	 0.5128 	 0.2825 	1.9559 	 0.5788 	 1.3023 	 
