Tracker Experiment Results 03-Nov-2014
LEFT_SHANK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0	5272.5341	29.7969	278.2773	0.5893 	 -0.2904 	 0.6891 	 0.3057 	1.3929 	 0.6876 	 1.7248 	 
0.08	5272.6498	29.0189	278.0641	0.5854 	 -0.2958 	 0.6868 	 0.3133 	1.3920 	 0.6672 	 1.7221 	 
0.09	5272.5009	29.7963	278.2694	0.5894 	 -0.2902 	 0.6892 	 0.3056 	1.3927 	 0.6881 	 1.7248 	 
0.11	5272.6429	28.9525	278.0309	0.5852 	 -0.2960 	 0.6868 	 0.3135 	1.3919 	 0.6665 	 1.7222 	 
0.12	5272.6329	29.0002	278.0279	0.5852 	 -0.2960 	 0.6867 	 0.3135 	1.3920 	 0.6664 	 1.7220 	 
0.13	5272.624	29.0003	278.0358	0.5854 	 -0.2958 	 0.6868 	 0.3132 	1.3921 	 0.6673 	 1.7222 	 
0.15	5272.6089	28.9818	278.0214	0.5855 	 -0.2958 	 0.6868 	 0.3133 	1.3922 	 0.6672 	 1.7219 	 
0.17	5272.4239	29.8146	278.2561	0.5895 	 -0.2899 	 0.6895 	 0.3049 	1.3926 	 0.6896 	 1.7256 	 
0.19	-204.546	115.943	268.5392	0.5926 	 -0.3173 	 0.6492 	 0.3558 	1.4560 	 0.5748 	 1.6237 	 
0.21	-204.5635	115.9383	268.5371	0.5926 	 -0.3171 	 0.6493 	 0.3560 	1.4555 	 0.5749 	 1.6235 	 
0.22	-204.5643	115.9687	268.5403	0.5926 	 -0.3171 	 0.6493 	 0.3559 	1.4555 	 0.5751 	 1.6236 	 
0.23	-204.5769	115.976	268.5425	0.5924 	 -0.3171 	 0.6494 	 0.3559 	1.4551 	 0.5750 	 1.6240 	 
0.24	-204.5659	115.973	268.5358	0.5926 	 -0.3170 	 0.6493 	 0.3559 	1.4553 	 0.5750 	 1.6236 	 
