Tracker Experiment Results 03-Nov-2014
RIGHT_SHANK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0.19	-178.1184	-151.8675	267.9177	0.5607 	 0.3116 	 0.6326 	 -0.4341 	-1.3724 	 0.4543 	 -1.5646 	 
0.21	-178.1392	-151.876	267.9356	0.5607 	 0.3114 	 0.6325 	 -0.4342 	-1.3722 	 0.4543 	 -1.5642 	 
0.22	-178.1147	-151.8546	267.9248	0.5606 	 0.3115 	 0.6324 	 -0.4344 	-1.3722 	 0.4539 	 -1.5641 	 
0.23	-178.1226	-151.8527	267.9249	0.5608 	 0.3114 	 0.6324 	 -0.4343 	-1.3724 	 0.4544 	 -1.5639 	 
0.24	-178.107	-151.837	267.9388	0.5607 	 0.3115 	 0.6324 	 -0.4344 	-1.3724 	 0.4539 	 -1.5640 	 
0.25	-178.1074	-151.8426	267.9438	0.5605 	 0.3117 	 0.6324 	 -0.4345 	-1.3722 	 0.4535 	 -1.5643 	 
0.26	-178.1022	-151.8202	267.9398	0.5605 	 0.3118 	 0.6324 	 -0.4343 	-1.3724 	 0.4535 	 -1.5644 	 
0.27	-178.081	-151.8066	267.9387	0.5606 	 0.3117 	 0.6325 	 -0.4343 	-1.3723 	 0.4538 	 -1.5646 	 
0.28	-178.0809	-151.7899	267.9431	0.5605 	 0.3118 	 0.6324 	 -0.4344 	-1.3724 	 0.4535 	 -1.5644 	 
0.29	-178.0869	-151.797	267.9438	0.5606 	 0.3116 	 0.6325 	 -0.4343 	-1.3722 	 0.4538 	 -1.5644 	 
0.3	-178.0938	-151.7923	267.9332	0.5606 	 0.3116 	 0.6325 	 -0.4343 	-1.3722 	 0.4539 	 -1.5644 	 
0.31	-178.0801	-151.807	267.9366	0.5606 	 0.3116 	 0.6325 	 -0.4343 	-1.3722 	 0.4539 	 -1.5645 	 
0.32	-178.0756	-151.8121	267.9378	0.5606 	 0.3116 	 0.6325 	 -0.4343 	-1.3722 	 0.4539 	 -1.5644 	 
0.33	-178.0757	-151.811	267.9372	0.5606 	 0.3115 	 0.6325 	 -0.4343 	-1.3721 	 0.4540 	 -1.5644 	 
0.34	-178.0574	-151.8046	267.9285	0.5606 	 0.3116 	 0.6324 	 -0.4344 	-1.3724 	 0.4538 	 -1.5642 	 
0.35	-178.0397	-151.803	267.9244	0.5605 	 0.3117 	 0.6323 	 -0.4345 	-1.3723 	 0.4533 	 -1.5642 	 
0.36	-178.0156	-151.7862	267.9236	0.5605 	 0.3119 	 0.6323 	 -0.4345 	-1.3724 	 0.4531 	 -1.5643 	 
0.37	-177.9865	-151.7827	267.9206	0.5605 	 0.3121 	 0.6322 	 -0.4345 	-1.3728 	 0.4528 	 -1.5642 	 
0.38	-177.9599	-151.7854	267.9104	0.5602 	 0.3122 	 0.6322 	 -0.4347 	-1.3724 	 0.4521 	 -1.5645 	 
0.39	-177.9319	-151.8036	267.9064	0.5602 	 0.3123 	 0.6321 	 -0.4348 	-1.3725 	 0.4518 	 -1.5643 	 
