GLOBAL QUATERNION
x	 y	 z	 w	
-0.0013 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0015 	 0.1554 	 0.0028 	 0.9879 	 
-0.0016 	 0.1556 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0016 	 0.1554 	 0.0028 	 0.9878 	 
-0.0012 	 0.1552 	 0.0028 	 0.9879 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0017 	 0.1555 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1554 	 0.0026 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0016 	 0.1554 	 0.0027 	 0.9878 	 
-0.0016 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0015 	 0.1554 	 0.0029 	 0.9878 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1554 	 0.0028 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0029 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0016 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1554 	 0.0028 	 0.9878 	 
-0.0017 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0026 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0014 	 0.1553 	 0.0028 	 0.9879 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1553 	 0.0026 	 0.9879 	 
-0.0014 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1555 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9878 	 
-0.0016 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1555 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0013 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0028 	 0.9879 	 
-0.0013 	 0.1551 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1555 	 0.0027 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0013 	 0.1552 	 0.0028 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1554 	 0.0028 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9879 	 
-0.0015 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0026 	 0.9879 	 
-0.0013 	 0.1554 	 0.0028 	 0.9878 	 
-0.0016 	 0.1558 	 0.0029 	 0.9878 	 
-0.0014 	 0.1554 	 0.0028 	 0.9879 	 
-0.0014 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9878 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0016 	 0.1555 	 0.0029 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1555 	 0.0030 	 0.9878 	 
-0.0013 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0013 	 0.1553 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0028 	 0.9879 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0015 	 0.1554 	 0.0029 	 0.9878 	 
-0.0013 	 0.1552 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0018 	 0.1558 	 0.0030 	 0.9878 	 
-0.0013 	 0.1552 	 0.0028 	 0.9879 	 
-0.0016 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1554 	 0.0028 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1553 	 0.0029 	 0.9879 	 
-0.0014 	 0.1555 	 0.0027 	 0.9878 	 
-0.0013 	 0.1554 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1554 	 0.0028 	 0.9879 	 
-0.0012 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0018 	 0.1559 	 0.0028 	 0.9878 	 
-0.0016 	 0.1554 	 0.0026 	 0.9878 	 
-0.0014 	 0.1554 	 0.0027 	 0.9878 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0013 	 0.1554 	 0.0028 	 0.9879 	 
-0.0015 	 0.1553 	 0.0028 	 0.9879 	 
-0.0016 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0014 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1552 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0027 	 0.9879 	 
-0.0014 	 0.1554 	 0.0028 	 0.9878 	 
-0.0014 	 0.1555 	 0.0027 	 0.9878 	 
-0.0014 	 0.1553 	 0.0027 	 0.9879 	 
-0.0015 	 0.1554 	 0.0027 	 0.9878 	 
-0.0017 	 0.1559 	 0.0029 	 0.9878 	 
-0.0014 	 0.1554 	 0.0028 	 0.9879 	 
-0.0013 	 0.1554 	 0.0027 	 0.9879 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0015 	 0.1555 	 0.0027 	 0.9878 	 
-0.0013 	 0.1553 	 0.0028 	 0.9879 	 
-0.0014 	 0.1552 	 0.0027 	 0.9879 	 
